Cenario,Band,RTT,Sent,Retrans,Lost,Time
130,3.237,0.0905,14201,485,2,53.088
131,3.270,0.8917,14201,626,3,52.551
132,3.311,0.1002,14201,467,2,51.901
133,3.354,0.0988,14201,608,2,51.235
134,3.420,0.3531,14200,478,2,50.245
135,3.448,0.0855,14201,578,2,49.840
136,3.557,0.0857,14201,472,2,48.312
137,3.627,0.0980,14201,562,2,47.379
138,3.674,0.9581,14201,581,2,46.776
139,3.787,0.0933,14201,538,2,45.380
140,3.814,0.0778,14201,575,2,45.058
141,3.893,0.8078,14201,587,2,44.143
142,4.114,0.0894,14201,591,2,41.773
143,4.376,0.10496,14201,568,2,39.271
144,4.456,0.0897,14201,539,2,38.567
145,4.498,0.7327,14201,465,2,38.206
146,4.545,0.0859,14201,572,2,37.810
147,4.675,0.1049,14201,574,2,36.760
148,4.744,0.0917,14201,576,2,36.226
149,4.793,0.0890,14200,577,2,35.856
150,4.817,0.0951,14201,580,2,35.680
151,4.822,0.0818,14201,583,2,35.640
152,4.828,0.0835,14201,575,2,35.596
153,4.874,0.0933,14201,583,2,35.261
154,4.961,0.0838,14201,571,2,34.644
155,0.465,0.1050,14203,1361,4,369.497
156,0.578,0.0867,14202,1186,4,297.259
157,0.773,0.0944,14203,1243,4,222.277
158,0.879,0.8871,14201,1076,4,195.471
159,0.961,0.0844,14201,1009,4,178.801
160,0.990,0.0857,14202,1083,4,173.555
161,1.154,0.1084,14201,1276,4,148.890
162,1.160,0.0892,14202,1272,4,148.123
163,1.229,0.1012,14202,1226,4,139.808
164,1.619,0.0846,14201,1114,4,106.131
165,1.677,0.1053,14202,1063,4,102.461
166,1.697,0.0877,14201,1068,4,101.254
167,1.721,0.0804,14202,912,3,99.839
168,1.922,0.0794,14203,1026,3,89.400
169,2.088,0.1020,14202,997,3,82.295
170,2.243,0.7792,14201,705,3,76.613
171,2.272,0.0891,14202,960,3,75.631
172,2.274,0.8419,14202,960,3,75.564
173,2.480,0.9096,14201,913,3,69.295
174,2.584,0.1064,14201,897,3,66.500
175,2.598,0.7888,14201,889,3,66.140
176,2.653,0.9377,14201,875,3,64.771
177,2.675,0.1100,14202,814,3,66.024
178,2.774,0.0923,14201,815,3,63.589
179,2.984,0.0907,14201,727,3,57.587
180,3.237,0.1082,14201,506,2,53.089
181,3.270,0.0803,14201,627,3,54.584
182,3.311,0.0936,14201,582,2,51.899
183,3.354,0.8973,14201,587,2,51.233
184,3.420,0.0846,14200,478,2,50.247
185,3.448,0.1129,14201,584,2,49.839
186,3.557,0.0980,14200,472,2,48.314
187,3.627,0.1049,14201,590,2,47.380
188,3.674,0.1039,14201,580,2,46.774
189,3.787,0.0910,14201,553,2,45.378
190,3.814,0.9146,14201,575,2,45.057
191,3.893,0.0856,14200,587,2,44.145
192,4.114,0.0962,14201,591,2,41.773
193,4.376,0.7301,14201,586,2,39.272
194,4.456,0.0961,14201,539,2,38.565
195,4.498,0.0897,14201,480,2,38.208
196,4.545,0.0843,14201,573,2,37.813
197,4.675,0.0791,14201,579,2,36.761
198,4.744,0.0933,14201,575,2,36.229
199,4.793,0.0911,14201,582,2,35.856
200,4.817,0.7797,14201,576,2,35.681
201,4.822,0.0944,14202,583,2,35.641
202,4.828,0.0950,14201,540,2,35.597
203,4.874,0.0833,14201,586,2,35.260
204,4.961,0.0766,14200,548,2,34.642
205,0.465,0.0861,14203,1178,4,369.500
206,0.578,0.1068,14202,950,4,297.260
207,0.773,0.0860,14202,1183,4,222.275
208,0.879,0.0993,14201,1044,4,195.479
209,0.961,0.0726,14201,1009,4,178.803
210,0.990,0.7055,14200,981,4,173.563
211,1.154,0.0820,14201,1238,4,148.891
212,1.160,0.0907,14202,1272,4,148.124
213,1.229,0.1087,14200,1259,4,139.805
214,1.619,0.9316,14202,934,3,106.131
215,1.677,0.14600,14202,1066,4,102.461
216,1.697,0.0900,14202,1065,4,107.967
217,1.721,0.0788,14201,1060,4,99.839
218,1.922,0.0888,14200,1022,3,89.402
219,2.088,0.0892,14202,1000,3,82.293
220,2.243,0.0871,14201,859,3,76.613
221,2.272,0.3372,14201,818,3,75.632
222,2.274,0.0946,14202,951,4,81.500
223,2.480,0.0980,14201,910,3,69.297
224,2.584,0.0911,14201,892,3,66.504
225,2.598,0.0861,14202,732,3,68.397
226,2.653,0.9508,14201,875,3,64.772
227,2.675,0.0903,14200,874,3,64.241
228,2.774,0.0956,14201,826,3,63.575
229,2.984,0.0953,14201,597,3,60.793
230,3.237,0.0825,14200,543,2,53.088
231,3.270,0.0943,14202,613,3,52.551
232,3.311,0.1057,14201,467,2,51.902
233,3.354,0.0840,14200,595,2,51.234
234,3.420,0.0819,14201,556,2,50.248
235,3.448,0.0848,14201,584,2,49.839
236,3.557,0.0827,14200,472,2,48.311
237,3.627,0.1041,14201,562,2,47.380
238,3.674,0.0864,14201,581,2,46.774
239,3.787,0.0933,14201,588,2,45.378
240,3.814,0.9628,14201,575,2,45.057
241,3.893,0.1088,14201,587,2,44.143
242,4.114,0.0817,14201,591,2,41.774
243,4.376,0.0898,14201,541,2,39.273
244,4.456,0.4276,14201,569,2,38.567
245,4.498,0.0924,14201,477,2,38.208
246,4.545,0.0984,14201,573,2,37.813
247,4.675,0.0837,14200,509,2,36.762
248,4.744,0.0868,14201,575,2,36.227
249,4.793,0.8574,14201,574,2,35.857
250,4.817,0.0952,14201,581,2,35.678
251,4.822,0.3931,14201,580,2,35.642
252,4.828,0.1081,14200,582,2,35.599
253,4.874,0.0855,14201,581,2,35.261
254,4.961,0.15068,14200,548,2,34.645
255,0.465,0.0890,14203,1264,4,369.496
256,0.578,0.0980,14202,1185,4,297.261
257,0.773,0.0960,14202,1139,4,222.275
258,0.879,0.1069,14201,1084,4,195.480
259,0.961,0.9589,14201,1009,4,178.797
260,0.990,0.0988,14201,1085,4,173.555
261,1.154,0.0868,14201,1121,4,148.892
262,1.160,0.1072,14202,1269,4,148.120
263,1.229,0.0861,14201,1107,4,139.806
264,1.619,0.0977,14202,1106,4,106.131
265,1.677,0.0792,14202,1066,4,102.461
266,1.697,0.0963,14202,1067,4,101.254
267,1.721,0.0806,14203,1066,4,99.842
268,1.922,0.0834,14202,768,3,89.401
269,2.088,0.0903,14201,725,3,82.292
270,2.243,0.0991,14203,922,4,80.696
271,2.272,0.0845,14201,914,4,75.631
272,2.274,0.0922,14201,956,3,75.565
273,2.480,0.0887,14200,906,3,69.294
274,2.584,0.0922,14201,909,3,66.500
275,2.598,0.0894,14201,889,3,66.142
276,2.653,0.0890,14201,875,3,64.771
277,2.675,0.0840,14202,814,3,66.019
278,2.774,0.0895,14201,815,3,63.588
279,2.984,0.0881,14200,685,3,59.794
280,3.237,0.0930,14201,479,2,53.086
281,3.270,0.0869,14201,627,3,54.575
282,3.311,0.0912,14201,582,2,51.901
283,3.354,0.7733,14201,607,2,51.235
284,3.420,0.0951,14201,555,2,50.246
285,3.448,0.0791,14201,588,2,49.839
286,3.557,0.1045,14200,472,2,48.312
287,3.627,0.0992,14201,562,2,47.380
288,3.674,0.0944,14201,580,2,46.773
289,3.787,0.0833,14201,538,2,45.378
290,3.814,0.1018,14202,564,2,45.055
291,3.893,0.0887,14201,587,2,44.142
292,4.114,0.0845,14202,589,2,41.773
293,4.376,0.0851,14201,541,2,39.273
294,4.456,0.3440,14201,539,2,38.566
295,4.498,0.0827,14200,553,2,38.208
296,4.545,0.0989,14201,574,2,37.811
297,4.675,0.1017,14200,509,2,36.761
298,4.744,0.0893,14201,575,2,36.228
299,4.793,0.0983,14201,581,2,35.855
300,4.817,0.7530,14201,581,2,35.677
301,4.822,0.9637,14201,581,2,35.641
302,4.828,0.0800,14200,567,2,35.596
303,4.874,0.8503,14201,589,2,35.261
304,4.961,0.0861,14201,574,2,34.641
305,0.465,0.1087,14203,1180,4,369.497
306,0.578,0.0893,14202,950,4,297.261
307,0.773,0.0822,14202,885,4,222.273
308,0.879,0.0950,14201,987,4,195.474
309,0.961,0.1004,14201,1289,4,178.793
310,0.990,0.11089,14201,1090,4,173.554
311,1.154,0.0875,14202,1277,4,148.894
312,1.160,0.0958,14202,1275,4,148.123
313,1.229,0.9311,14201,1261,4,139.806
314,1.619,0.0988,14203,1037,4,106.130
315,1.677,0.1045,14201,1062,4,102.460
316,1.697,0.0921,14202,1039,4,105.603
317,1.721,0.1008,14202,1111,4,99.846
318,1.922,0.0783,14202,883,3,89.400
319,2.088,0.8571,14202,999,3,82.296
320,2.243,0.9453,14201,896,3,76.609
321,2.272,0.0840,14201,747,3,75.639
322,2.274,0.0910,14202,812,3,75.565
323,2.480,0.0973,14201,906,3,69.294
324,2.584,0.7767,14201,911,3,66.498
325,2.598,0.0936,14201,904,3,66.139
326,2.653,0.0821,14201,876,3,64.770
327,2.675,0.0880,14202,813,3,64.239
328,2.774,0.8787,14201,815,3,63.583
329,2.984,0.0874,14201,727,3,57.587
330,3.237,0.0973,14201,485,2,53.087
331,3.270,0.1040,14201,627,3,54.581
332,3.311,0.0988,14201,467,2,51.901
333,3.354,0.0803,14201,608,2,51.236
334,3.420,0.0912,14201,601,2,50.248
335,3.448,0.1019,14201,584,2,49.839
336,3.557,0.10547,14201,600,2,48.312
337,3.627,0.0944,14202,591,2,47.381
338,3.674,0.0917,14201,548,2,46.776
339,3.787,0.0851,14201,538,2,45.378
340,3.814,0.1084,14201,575,2,45.057
341,3.893,0.1048,14201,587,2,44.143
342,4.114,0.0815,14201,576,2,41.772
343,4.376,0.0817,14201,587,2,39.273
344,4.456,0.0849,14201,573,2,38.568
345,4.498,0.8790,14201,477,2,38.208
346,4.545,0.8167,14201,573,2,37.814
347,4.675,0.8330,14201,579,2,36.761
348,4.744,0.0859,14201,574,2,36.227
349,4.793,0.9788,14201,578,2,35.857
350,4.817,0.0986,14201,580,2,35.679
351,4.822,0.0751,14201,581,2,35.645
352,4.828,0.0959,14201,581,2,35.596
353,4.874,0.0870,14200,579,2,35.261
354,4.961,0.5482,14200,548,2,34.643
355,0.465,0.0852,14202,1172,4,369.498
356,0.578,0.8353,14203,1310,4,297.263
357,0.773,0.0880,14202,885,4,222.273
358,0.879,0.0922,14201,1044,4,195.478
359,0.961,0.1023,14201,1020,4,178.801
360,0.990,0.0965,14202,1269,4,173.554
361,1.154,0.0900,14201,1274,4,148.891
362,1.160,0.1012,14202,1264,4,148.122
363,1.229,0.0813,14201,1259,4,139.804
